,name,quality,base_atk,substat,passive
37,Splendor of Tranquil Waters,,542(44),CRIT DMG 88.2%(19.2%),"Dawn and Dusk by the LakeWhen the equipping character's current HP increases or decreases, Elemental Skill DMG dealt will be increased by 8~16% for 6s. Max 3 stacks. This effect can be triggered once every 0.2s. When other party members' current HP increases or decreases, the equipping character's Max HP will be increased by 14~28% for 6s. Max 2 stacks. This effect can be triggered once every 0.2s. The aforementioned effects can be triggered even if the wielder is off-field."
38,Staff of Homa,,608(46),CRIT DMG 66.2%(14.4%),"Reckless CinnabarHP increased by 20~40%. Additionally, provides an ATK Bonus based on 0.8~1.6% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK bonus is increased by an additional 1~1.8% of Max HP."
39,Staff of the Scarlet Sands,,542(44),CRIT Rate 44.1%(9.6%),"Heat Haze at Horizon's EndThe equipping character gains 52~104% of their Elemental Mastery as bonus ATK. When an Elemental Skill hits opponents, the Dream of the Scarlet Sands effect will be gained for 10s: The equipping character will gain 28~56% of their Elemental Mastery as bonus ATK. Max 3 stacks."
40,Summit Shaper,,608(46),ATK 49.6%(10.8%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
41,Surf's Up,,542(44),CRIT DMG 88.2%(19.2%),"Aqua RemembranceMax HP increased by 20~40%. Once every 15s, for the 14s after using an Elemental Skill: Gain 4 Scorching Summer stacks. Each stack increases Normal Attack DMG by 12~24%. For the duration of the effect, every 1.5s, lose 1 stack after a Normal Attack hits an opponent; once every 1.5s, gain 1 stack after triggering a Vaporize reaction on an opponent. Max 4 Scorching Summer stacks."
42,The First Great Magic,,608(46),CRIT DMG 66.2%(14.4%),"Parsifal the GreatDMG dealt by Charged Attacks increased by 16~32%. For every party member with the same Elemental Type as the wielder (including the wielder themselves), gain 1 Gimmick stack. For every party member with a different Elemental Type from the wielder, gain 1 Theatrics stack. When the wielder has 1/2/3 or more Gimmick stacks, ATK will be increased by 16%/32%/48%~32%/64%/96%. When the wielder has 1/2/3 or more Theatrics stacks, Movement SPD will be increased by 4%/7%/10%~12%/15%/18%."
43,The Unforged,,608(46),ATK 49.6%(10.8%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
44,Thundering Pulse,,608(46),CRIT DMG 66.2%(14.4%),"Rule By ThunderIncreases ATK by 20~40% and grants the might of the Thunder Emblem. At stack levels 1/2/3, the Thunder Emblem increases Normal Attack DMG by 12/24/40~24/48/80%. The character will obtain 1 stack of Thunder Emblem in each of the following scenarios: Normal Attack deals DMG (stack lasts 5s), casting Elemental Skill (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
45,Tome of the Eternal Flow,,542(44),CRIT DMG 88.2%(19.2%),"Aeon WaveHP is increased by 16~32%. When current HP increases or decreases, Charged Attack DMG will be increased by 14~30% for 4s. Max 3 stacks, can be triggered once every 0.3s. When you have 3 stacks or refresh a third stack's duration, 8~12 Energy will be restored. This Energy restoration effect can be triggered once every 12s."
46,Tulaytullah's Remembrance,,674(48),CRIT DMG 44.1%(9.6%),"Bygone Azure TeardropNormal Attack SPD is increased by 10~20%. After the wielder unleashes an Elemental Skill, Normal Attack DMG will increase by 4.8~9.6% every second for 14s. After this character hits an opponent with a Normal Attack during this duration, Normal Attack DMG will be increased by 9.6~19.2%. This increase can be triggered once every 0.3s. The maximum Normal Attack DMG increase per single duration of the overall effect is 48~96%. The effect will be removed when the wielder leaves the field, and using the Elemental Skill again will reset all DMG buffs."
47,Uraku Misugiri,,542(44),CRIT DMG 88.2%(19.2%),"Brocade Bloom, Shrine SwordNormal Attack DMG is increased by 16~32% and Elemental Skill DMG is increased by 24~48%. After a nearby active character deals Geo DMG, the aforementioned effects increase by 100% for 15s. Additionally, the wielder's DEF is increased by 20~40%."
48,Verdict,,674(48),CRIT Rate 22.1%(4.8%),"Many Oaths of Dawn and DuskIncreases ATK by 20~40%. When characters in your party obtain Elemental Shards from Crystallize reactions, the equipping character will gain 1 Seal, increasing Elemental Skill DMG by 18~36%. The Seal lasts for 15s, and the equipped may have up to 2 Seals at once. All of the equipper's Seals will disappear 0.2s after their Elemental Skill deals DMG."
49,Vortex Vanquisher,,608(46),ATK 49.6%(10.8%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
50,Wolf's Gravestone,,608(46),ATK 49.6%(10.8%),"Wolfish TrackerIncreases ATK by 20~40%. On hit, attacks against opponents with less than 30% HP increase all party members' ATK by 40~80% for 12s. Can only occur once every 30s."
51,"""The Catch""",,510(42),Energy Recharge 45.9%(10.0%),ShantyIncreases Elemental Burst DMG by 16~32% and Elemental Burst CRIT Rate by 6~12%.
52,"""Ultimate Overlord's Mega Magic Sword""",,565(44),Energy Recharge 30.6%(6.7%),"Melussistance!ATK increased by 12~24%. That's not all! The support from all Melusines you've helped in Merusea Village fills you with strength! Based on the number of them you've helped, your ATK is increased by up to an additional 12~24%."
53,Akuoumaru,,510(42),ATK 41.3%(9%),"Watatsumi WavewalkerFor every point of the entire party's combined maximum Energy capacity, the Elemental Burst DMG of the character equipping this weapon is increased by 0.12~0.24%. A maximum of 40~80% increased Elemental Burst DMG can be achieved this way."
54,Alley Hunter,,565(44),ATK 27.6%(6%),"Oppidan AmbushWhile the character equipped with this weapon is in the party but not on the field, their DMG increases by 2~4% every second up to a max of 20~40%. When the character is on the field for more than 4s, the aforementioned DMG buff decreases by 4~8% per second until it reaches 0%."
55,Amenoma Kageuchi,,454(41),ATK 55.1%(12%),"Iwakura SuccessionAfter casting an Elemental Skill, gain 1 Succession Seed. This effect can be triggered once every 5s. The Succession Seed lasts for 30s. Up to 3 Succession Seeds may exist simultaneously. After using an Elemental Burst, all Succession Seeds are consumed and after 2s, the character regenerates 6~12 Energy for each seed consumed."
56,Ash-Graven Drinking Horn,,510(42),HP 41.3%(9%),"Tupac's GripWhen an attack hits an opponent, deal AoE DMG equal to 40~80% of Max HP at the target location. This effect can be triggered once every 15s."
57,Ballad of the Boundless Blue,,565(44),Energy Recharge 30.6%(6.7%),"Azure SkiesWithin 6s after Normal or Charged Attacks hit an opponent, Normal Attack DMG will be increased by 8~16% and Charged Attack DMG will be increased by 6~12%. Max 3 stacks. This effect can be triggered once every 0.3s."
58,Ballad of the Fjords,,510(42),CRIT Rate 27.6%(6%),"Tales of the TundraWhen there are at least 3 different Elemental Types in your party, Elemental Mastery will be increased by 120~240."
59,Blackcliff Agate,,510(42),CRIT DMG 55.1%(12%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
60,Blackcliff Longsword,,565(44),CRIT DMG 36.8%(8%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
61,Blackcliff Pole,,510(42),CRIT DMG 55.1%(12%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
62,Blackcliff Slasher,,510(42),CRIT DMG 55.1%(12%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
63,Blackcliff Warbow,,565(44),CRIT DMG 36.8%(8%),"Press the AdvantageAfter defeating an opponent, ATK is increased by 12~24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others."
64,Chain Breaker,,565(44),ATK 27.6%(6%),"Flower—Feather SongFor every party member from Natlan or who has a different Elemental Type from the equipping character, the equipping character gains 4.8~9.6% increased ATK. When there are no less than 3 of the aforementioned characters, the equipping character gains 24~48 Elemental Mastery."
65,Cinnabar Spindle,,454(41),DEF 69.0%(15%),Spotless HeartElemental Skill DMG is increased by 40~80% of DEF. The effect will be triggered no more than once every 1.5s and will be cleared 0.1s after the Elemental Skill deals DMG.
66,Cloudforged,,510(42),Elemental Mastery 165(36),"Crag-Chiseled ForgeAfter Elemental Energy is decreased, the equipping character's Elemental Mastery will increase by 40~80 for 18s. Max 2 stacks."
67,Compound Bow,,454(41),Physical DMG Bonus 69.0%(15%),Infusion ArrowNormal Attack and Charged Attack hits increase ATK by 4~8% and Normal ATK SPD by 1.2~2.4% for 6s. Max 4 stacks. Can only occur once every 0.3s.
68,Crescent Pike,,565(44),Physical DMG Bonus 34.5%(7.5%),"Infusion NeedleAfter picking up an Elemental Orb/Particle, Normal and Charged Attacks deal an additional 20~40% ATK as DMG for 5s."
69,Deathmatch,,454(41),CRIT Rate 36.8%(8%),"GladiatorIf there are at least 2 opponents nearby, ATK is increased by 16~32% and DEF is increased by 16~32%. If there are fewer than 2 opponents nearby, ATK is increased by 24~48%."
70,Dialogues of the Desert Sages,,510(42),HP 41.3%(9%),"Principle of EquilibriumWhen the wielder performs healing, restore 8~16 Energy. This effect can be triggered once every 10s and can occur even when the character is not on the field."
71,Dodoco Tales,,454(41),ATK 55.1%(12%),Dodoventure!Normal Attack hits on opponents increase Charged Attack DMG by 16~32% for 6s. Charged Attack hits on opponents increase ATK by 8~16% for 6s.
72,Dragon's Bane,,454(41),Elemental Mastery 221(48),Bane of Flame and WaterIncreases DMG against opponents affected by Hydro or Pyro by 20~36%.
73,Dragonspine Spear,,454(41),Physical DMG Bonus 69.0%(15%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing 80~140% AoE ATK DMG. Opponents affected by Cryo are dealt 200~360% ATK DMG instead by the icicle. Can only occur once every 10s."
74,Earth Shaker,,565(44),ATK 27.6%(6%),"Oath of Qhapaq NanAfter a party member triggers a Pyro-related reaction, the equipping character's Elemental Skill DMG is increased by 16~32% for 8s. This effect can be triggered even when the triggering party member is not on the field."
75,End of the Line,,510(42),Energy Recharge 45.9%(10.0%),"Net SnapperTriggers the Flowrider effect after using an Elemental Skill, dealing 80~160% ATK as AoE DMG upon hitting an opponent with an attack. Flowrider will be removed after 15s or after causing 3 instances of AoE DMG. Only 1 instance of AoE DMG can be caused every 2s in this way. Flowrider can be triggered once every 12s."
76,Eye of Perception,,454(41),ATK 55.1%(12%),"EchoNormal and Charged Attacks have a 50% chance to fire a Bolt of Perception, dealing 240~360% ATK as DMG. This bolt can bounce between opponents a maximum of 4 times. This effect can occur once every 12~8s."
77,Fading Twilight,,565(44),Energy Recharge 30.6%(6.7%),"Radiance of the DeepsHas three states, Evengleam, Afterglow, and Dawnblaze, which increase DMG dealt by 6%/10%/14%~12%/20%/28% respectively. When attacks hit opponents, this weapon will switch to the next state. This weapon can change states once every 7s. The character equipping this weapon can still trigger the state switch while not on the field."
78,Favonius Codex,,510(42),Energy Recharge 45.9%(10.0%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
79,Favonius Greatsword,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
80,Favonius Lance,,565(44),Energy Recharge 30.6%(6.7%),"WindfallCRIT Hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
81,Favonius Sword,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
82,Favonius Warbow,,454(41),Energy Recharge 61.3%(13.3%),"WindfallCRIT hits have a 60~100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12~6s."
83,Festering Desire,,510(42),Energy Recharge 45.9%(10.0%),Undying AdmirationIncreases Elemental Skill DMG by 16~32% and Elemental Skill CRIT Rate by 6~12%.
84,Finale of the Deep,,565(44),ATK 27.6%(6%),"An End SublimeWhen using an Elemental Skill, ATK will be increased by 12~24% for 15s, and a Bond of Life worth 25% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond of Life is cleared, a maximum of 150~300 ATK will be gained based on 2.4~4.8% of the total amount of the Life Bond cleared, lasting for 15s."
85,Fleuve Cendre Ferryman,,510(42),Energy Recharge 45.9%(10.0%),"IronboneIncreases Elemental Skill CRIT Rate by 8~16%. Additionally, increases Energy Recharge by 16~32% for 5s after using an Elemental Skill."
86,Flowing Purity,,565(44),ATK 27.6%(6%),"Unfinished MasterpieceWhen using an Elemental Skill, All Elemental DMG Bonus will be increased by 8~16% for 15s, and a Bond of Life worth 24% of Max HP will be granted. This effect can be triggered once every 10s. When the Bond Of Life is cleared, every 1,000 HP cleared in the process will provide 2~4% All Elemental DMG Bonus, up to a maximum of 12~24%. This effect lasts 15s."
87,Flute of Ezpitzal,,454(41),DEF 69.0%(15%),Smoke-and-Mirror MysteryUsing an Elemental Skill increases DEF by 16~32% for 15s.
88,Footprint of the Rainbow,,510(42),DEF 51.7%(11.3%),Pact of Flowing SpringsUsing an Elemental Skill increases DEF by 16~32% for 15s.
89,Forest Regalia,,565(44),Energy Recharge 30.6%(6.7%),"Forest SanctuaryAfter triggering Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon, a Leaf of Consciousness will be created around the character for a maximum of 10s. When picked up, the Leaf will grant the character 60~120 Elemental Mastery for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The Leaf of Consciousness' effect cannot stack."
90,Frostbearer,,510(42),ATK 41.3%(9%),"Frost BurialHitting an opponent with Normal and Charged Attacks has a 60~100% chance of forming and dropping an Everfrost Icicle above them, dealing 80~140% AoE ATK DMG. Opponents affected by Cryo are dealt 200~360% ATK DMG instead by the icicle. Can only occur once every 10s."
91,Fruit of Fulfillment,,510(42),Energy Recharge 45.9%(10.0%),"Full CircleObtain the ""Wax and Wane"" effect after an Elemental Reaction is triggered, gaining 24~36 Elemental Mastery while losing 5% ATK. For every 0.3s, 1 stack of Wax and Wane can be gained. Max 5 stacks. For every 6s that go by without an Elemental Reaction being triggered, 1 stack will be lost. This effect can be triggered even when the character is off-field."
